candidate_id,dataset,zero_index_left,zero_index_right,source,radius,gap,normalized_gap_metric,local_gbar,explicit_gbar_upper,explicit_gbar_status,finite_flow_collision_time,collision_time_abs,local_gap_energy,neighbor_correction_ratio,neighbor_correction_abs_deviation,rank_normalized_gap,rank_gbar_upper,rank_collision_time,rank_local_energy,candidate_a,finite_ode_status
around_1e12:1000000008625/1000000008626,around_1e12,1000000008625,1000000008626,hp_cert_top20,80,0.0055569682999703,0.0216462265659802,0.0014025028532052,0.0014258627321561,available_explicit_style,-3.860659994242403e-06,3.860659994242403e-06,2523.73109001031,1.000174329179879,0.00017432917987902918,1.0,1.0,2.0,1.0,True,ok
first_100k:95248/95249,first_100k,95248,95249,hp_cert_top20,80,0.0147014760004822,0.021860466055516,0.0019860237913684,0.0020096669441776,available_explicit_style,-2.702335596824887e-05,2.702335596824887e-05,2462.805189441142,1.0002473063121156,0.0002473063121155583,2.0,2.0,5.0,2.0,False,ok
first_100k:87761/87762,first_100k,87761,87762,hp_cert_top20,80,0.0194846280064667,0.0287462028379411,0.0037145244837881,0.0037553488840485,available_explicit_style,-4.747833829274006e-05,4.747833829274006e-05,1556.617452120738,1.0004635254940963,0.0004635254940963396,3.0,3.0,7.0,3.0,False,ok
first_100k:82552/82553,first_100k,82552,82553,hp_cert_top20,80,0.0208495010010665,0.0305787712062527,0.0045115682120063,0.0045577499996501,available_explicit_style,-5.4368317692288416e-05,5.4368317692288416e-05,1350.8730286414502,1.0005632587803153,0.0005632587803152678,4.0,4.0,8.0,4.0,False,ok
first_100k:73997/73998,first_100k,73997,73998,hp_cert_top20,80,0.0258392800024012,0.0374961568953493,0.0059019226592175,0.005971349978877,available_explicit_style,-8.352008115241344e-05,8.352008115241344e-05,1009.1470276492048,1.000737279439046,0.0007372794390458903,5.0,6.0,10.0,5.0,False,ok
around_1e21:1000000000000000001635/1000000000000000001636,around_1e21,1000000000000000001635,1000000000000000001636,hp_cert_top20,80,0.0053001200000153,0.037604769672614,0.0057095080844158,0.0057798887728786,available_explicit_style,-3.5139132598407508e-06,3.5139132598407508e-06,988.3486812161108,1.000713177536176,0.0007131775361759463,6.0,5.0,1.0,6.0,False,ok
first_100k:44555/44556,first_100k,44555,44556,top_normalized_gap,80,0.0295376279973425,0.0407462892486608,0.0056966810190907,,missing_explicit_tail_estimate,-0.0001091365384117,0.0001091365384117,891.6831422447343,1.0007115872642007,0.0007115872642007304,7.0,,11.0,8.0,False,ok
first_100k:6709/6710,first_100k,6709,6710,top_normalized_gap,80,0.0376984990007259,0.0420983999766036,0.0068457150431786,,missing_explicit_tail_estimate,-0.0001777990702379,0.0001777990702379,893.7989554176146,1.000855442456549,0.0008554424565490049,8.0,,13.0,7.0,False,ok
around_1e12:1000000004240/1000000004241,around_1e12,1000000004240,1000000004241,hp_cert_top20,80,0.0113810798000031,0.0443330641053597,0.0064051774941423,0.0065026615366694,available_explicit_style,-1.620407960205216e-05,1.620407960205216e-05,858.2617183370438,1.000800279631997,0.0008002796319970251,9.0,7.0,4.0,9.0,False,ok
first_100k:18859/18860,first_100k,18859,18860,top_normalized_gap,80,0.0353073209989816,0.0444574507631549,0.0108947306527212,,missing_explicit_tail_estimate,-0.0001560382073558,0.0001560382073558,856.3247044762513,1.0013626931630386,0.0013626931630386085,10.0,,12.0,10.0,False,ok
around_1e12:1000000008732/1000000008733,around_1e12,1000000008732,1000000008733,hp_cert_top20,80,0.0147160977003296,0.0573240601339176,0.0166140638261611,0.0167779772059082,available_explicit_style,-2.712674946637956e-05,2.712674946637956e-05,727.3958747644488,1.0020800556872074,0.0020800556872073717,11.0,9.0,6.0,11.0,False,ok
around_1e21:1000000000000000006362/1000000000000000006363,around_1e21,1000000000000000006362,1000000000000000006363,hp_cert_top20,80,0.009248750000097,0.0656206111394141,0.0125673861729486,0.0127810388140078,available_explicit_style,-1.0709234514596844e-05,1.0709234514596844e-05,673.8193086830076,1.0015723700344983,0.0015723700344982827,12.0,8.0,3.0,12.0,False,ok
around_1e12:1000000003033/1000000003034,around_1e12,1000000003033,1000000003034,hp_cert_top20,80,0.0224283326999739,0.0873657621939313,0.028173054722387,0.028551832400029,available_explicit_style,-6.310091967160675e-05,6.310091967160675e-05,459.3823507689594,1.0035330880695366,0.0035330880695365607,13.0,10.0,9.0,13.0,False,ok
