rank,n,sigma_n,ratio_sigma_over_n_loglogn,margin_exp_gamma_minus_ratio
1,10080,39312,1.755814338925297,0.025258079064901
2,55440,232128,1.751246514887494,0.029825903102704
3,27720,112320,1.742536723813828,0.038535694176370
4,7560,28800,1.739916519202759,0.041155898787439
5,15120,59520,1.738558674289028,0.042513743701170
6,110880,471744,1.734849010303364,0.046223407686834
7,720720,3249792,1.733065356238066,0.048007061752132
8,166320,714240,1.726928742547301,0.054143675442897
9,65520,270816,1.717889001147717,0.063183416842481
10,332640,1451520,1.716096975360581,0.064975442629617
11,30240,120960,1.713953687391729,0.067118730598469
12,20160,79248,1.713810615141805,0.067261802848393
13,25200,99944,1.712482036400963,0.068590381589235
14,83160,345600,1.712109653103182,0.068962764887016
15,360360,1572480,1.711872110145057,0.069200307845141
16,277200,1199328,1.711243755826978,0.069828662163220
17,12600,48360,1.709535654883768,0.071536763106430
18,32760,131040,1.708296575834996,0.072775842155202
19,221760,950976,1.708246237914060,0.072826180076138
20,131040,550368,1.702693704740156,0.078378713250042
